----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |       Observed  |  Rel. |    Aki    | Acc. |            Ei           Ek            |              Lower level              |              Upper level              |Type|           TP  |    Line  |
          |      Wavelength |  Int. |    s^-1   |      |           (eV)         (eV)           |---------------------------------------|---------------------------------------|    |          Ref. |    Ref.  |
          |       Air (nm)  |  (?)  |           |      |                                       | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |               |          |
Ar I      |     630.7657    |    15 | 6.0e+05   | D+   |    13.17177690    -     15.13684755   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<3/2>).5d | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar I      |     636.9575    |     7 | 4.2e+05   | D+   |    13.17177690    -     15.11774546   | 3s2.3p5.(2P*<3/2>).4p | 2[3/2]  | 2   | 3s2.3p5.(2P*<3/2>).5d | 2[1/2]* | 1   |    |        T1218n |   L2634  |
Ar I      |     638.4717    |    20 | 4.21e+05  | C    |    12.90701451    -     14.84836809   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 1   |    |        T1218n |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
Ar II     |     639.92085   |    18 | 6.e+05    | C    |    17.74308993    -     19.68004775   | 3s2.3p4.(3P).3d       | 4F      | 5/2 | 3s2.3p4.(3P).4p       | 2D*     | 5/2 |    |          T926 |  L11520  |
Ar I      |     641.6307    |    70 | 1.16e+06  | C    |    12.90701451    -     14.83881010   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).6s | 2[3/2]* | 2   |    |        T1218n |   L2634  |
Ar II     |     643.76013   |    11 | 2.e+05    | E    |    17.94175001    -     19.86715583   | 3s2.3p4.(3P).3d       | 2P      | 1/2 | 3s2.3p4.(3P).4p       | 2P*     | 3/2 |    |          T926 |  L11520  |
Ar II     |     648.30825   |   120 | 1.06e+07  | C+   |    18.06063878    -     19.97253701   | 3s2.3p4.(3P).3d       | 2P      | 3/2 | 3s2.3p4.(3P).4p       | 2S*     | 1/2 |    |          T926 |  L11520  |
Ar II     |     650.02151   |     5 | 3.e+05    | C+   |    18.06063878    -     19.96749786   | 3s2.3p4.(3P).3d       | 2P      | 3/2 | 3s2.3p4.(3P).4p       | 4S*     | 3/2 |    |          T926 |   L2634  |
          |                 |       |           |      |                                       |                       |         |     |                       |         |     |    |               |          |
