-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Spectrum  |         Observed  |   Rel. |    Aki    | Acc. |              Ei           Ek              |              Lower level              |              Upper level              |Type|        TP  |   Line  |
          |        Wavelength |   Int. |    s^-1   |      |             (eV)         (eV)             |---------------------------------------|---------------------------------------|    |       Ref. |   Ref.  |
          |         Air (nm)  |   (?)  |           |      |                                           | Conf.                 | Term    | J   | Conf.                 | Term    | J   |    |            |         |
Ne I      |        633.44276  |  10000 | 1.61e+07  | B    |    16.61906908      -     18.57583488     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   |    | T205n,T172 |  L7292  |
Ne I      |        635.18532  |   1000 | 3.45e+05  | B    |    18.71137553      -     20.66277272     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1   |    |      T8043 |  L4498  |
Ne I      |        638.29914  |  10000 | 3.21e+07  | B    |    16.67082592      -     18.61270414     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   |    | T205n,T172 |  L7292  |
Ne I      |        640.1076   |   1000 | 1.39e+06  | B    |    18.72638031      -     20.66277272     | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).5s | 2[1/2]* | 1   |    |      T8043 |  L3469  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        640.2248   |  20000 | 5.14e+07  | B    |    16.61906908      -     18.55510691     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 3   |    | T205n,T172 |  L7292  |
Ne III    |        640.658    |     90 | 5.6e+07   | D    |    55.576147        -     57.510868       | 2s2.2p3.(4S*).4d      | 3D*     | 3   | 2s2.2p3.(4S*).5p      | 3P      | 2   |    |      T8046 |  L3478  |
Ne I      |        650.65277  |  15000 | 3.00e+07  | B    |    16.67082592      -     18.57583488     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   |    | T205n,T172 |  L7292  |
Ne I      |        653.28824  |   1000 | 1.08e+07  | B    |    16.71538006      -     18.61270414     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 0   | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   |    | T205n,T172 |  L7292  |
Ne I      |        659.89528  |  10000 | 2.32e+07  | B    |    16.84805266      -     18.72638031     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L7292  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        665.20925  |   1500 | 2.9e+05   | B    |    16.84805266      -     18.71137553     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 0   |    |      T8043 |  L3451  |
Ne I      |        667.82766  |   5000 | 2.33e+07  | C+   |    16.84805266      -     18.70407004     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 2   |    | T205n,T172 |  L7292  |
Ne I      |        671.70430  |    700 | 2.17e+07  | B    |    16.84805266      -     18.69335829     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<1/2>).3p | 2[3/2]  | 1   |    | T205n,T172 |  L7292  |
Ne I      |        672.11342  |     20 | 4.9e+04   | D    |    18.72638031      -     20.57056254     | 2s2.2p5.(2P*<1/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<3/2>).5s | 2[3/2]* | 1   |    |      T8043 |  L4498  |
Ne III    |        688.694    |     70 | 6.0e+07   | D    |    52.051954        -     53.8517353      | 2s2.2p3.(4S*).4s      | 3S*     | 1   | 2s2.2p3.(4S*).4p      | 3P      | 1   |    |      T8046 |  L3478  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne III    |        689.541    |    100 | 6.0e+07   | D    |    52.051954        -     53.8495279      | 2s2.2p3.(4S*).4s      | 3S*     | 1   | 2s2.2p3.(4S*).4p      | 3P      | 2   |    |      T8046 |  L3478  |
Ne I      |        692.94672  | 100000 | 1.74e+07  | B    |    16.84805266      -     18.63679043     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 2   |    | T205n,T172 |  L3451  |
Ne I      |        702.40500  |  34000 | 1.89e+06  | B    |    16.84805266      -     18.61270414     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[3/2]  | 1   |    |      T8043 |  L3451  |
Ne I      |        703.24128  |  85000 | 2.53e+07  | B    |    16.61906908      -     18.38162211     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 2   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L3451  |
Ne I      |        705.12922  |   2200 | 3.0e+06   | D    |    18.38162211      -     20.13945611     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 1   |    |      T8043 |  L9097  |
          |                   |        |           |      |                                           |                       |         |     |                       |         |     |    |            |         |
Ne I      |        705.91079  |  10000 | 6.8e+06   | C    |    18.38162211      -     20.13751003     | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   | 2s2.2p5.(2P*<1/2>).3d | 2[3/2]* | 2   |    |      T8043 |  L3451  |
Ne I      |        717.39380  |  77000 | 2.87e+06  | B    |    16.84805266      -     18.57583488     | 2s2.2p5.(2P*<1/2>).3s | 2[1/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[5/2]  | 2   |    | T205n,T172 |  L3451  |
Ne I      |        724.51665  |  77000 | 9.35e+06  | B    |    16.67082592      -     18.38162211     | 2s2.2p5.(2P*<3/2>).3s | 2[3/2]* | 1   | 2s2.2p5.(2P*<3/2>).3p | 2[1/2]  | 1   |    | T205n,T172 |  L3451  |
